id,file_original_name,file_name,data,path,is_image,created_at,updated_at,slug,
19,Grund-anticoroziv-superior.webp,Grund-anticoroziv-superior.webp,"{""title"":""Grund superior pentru suporturi metal"",""alt"":""Grund anticoroziv alchidic superior""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,grund-anticoroziv-emex,✔
20,Grund-de-binale.webp,Grund-de-binale.webp,"{""title"":""Grund pentru ornamente lemn si binale"",""alt"":""Grund pentru lambriuri ferestre lemn""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,grund-binale,✔
21,Lac-alchidic-lemn.webp,Lac-alchidic-lemn.webp,"{""title"":""Lac lucios pentru lambriu si ornamente"",""alt"":""Lac alchidic pentru metal si lemn""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-alchidic,✔
22,Lac-alchido-uretanizat-lemn-exterior.webp,Lac-alchido-uretanizat-lemn-exterior.webp,"{""title"":""Lac protectie exterior mobilier de gradina"",""alt"":""Lac uretanizat transparent de exterior""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-uretanizat-mobilier-gradina,✔
23,Lac-de-parchet-alchidic-modificat.webp,Lac-de-parchet-alchidic-modificat.webp,"{""title"":""Lac parchet uretanizat monocomponent lucios"",""alt"":""Lac interior alchido-uretanizat protectie parchet""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-parchet,✔
24,Lac-pentru-piatra-in-rasini-solventate.webp,Lac-pentru-piatra-in-rasini-solventate.webp,"{""title"":""Lac protectie piatra in solvent organic"",""alt"":""Lac pentru piatra in rasini solventate""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lac-piatra-solvent,✔
25,Lazura-lac-tansparent-exterior.webp,Lazura-lac-tansparent-exterior.webp,"{""title"":""Lazura lac colorat sau transparent"",""alt"":""Lazura exterior transparent de calitate superioara""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,lazura-lac-colorat,✔
26,Pasta-decapanta-ecologica.webp,Pasta-decapanta-ecologica.webp,"{""title"":""Decapant ecologic pentru inlaturare vopsele"",""alt"":""Decapant ecologic “Emex PC Eco”""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,decapant-ecologic-vopsele,✔
27,Sistem-anticoroziv-grund-si-email-2x1.webp,Sistem-anticoroziv-grund-si-email-2x1.webp,"{""title"":""Sistem anticoroziv 3 in 1 economic"",""alt"":""Vopsea alchidica cu grund inclus""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,emex-dual-protect,✔
28,Solutie-decapanta-pentru-lemn-si-metal.webp,Solutie-decapanta-pentru-lemn-si-metal.webp,"{""title"":""Solutie curatare vopsea metal beton"",""alt"":""Solutie decapanta pentru curatare vopsele vechi""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,decapant-vopsea-lemn-metal,✔
29,Solutie-de-fosfatare-antirugina.webp,Solutie-de-fosfatare-antirugina.webp,"{""title"":""Solutie fosfatare curatare rugina si tunder"",""alt"":""Deruginol feruginol solutie curatare rugina""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,solutie-anti-rugina,✔
30,Vopsea-alchidica-baza-apa-satinata.webp,Vopsea-alchidica-baza-apa-satinata.webp,"{""title"":""Vopsea satinata alchidica solubila in apa"",""alt"":""Vopsea alchidica satinata diluabila cu apa""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-satinata-emcolor,✔
31,Vopsea-alchidica-premium-1-strat.webp,Vopsea-alchidica-premium-1-strat.webp,"{""title"":""Vopsea alchidica premium pentru metal lemn"",""alt"":""Vopsea alchidica premium cu acoperire superioara""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-emex-gold,✔
32,Vopsea-alchidica-uretanizata-pentru-exterior.webp,Vopsea-alchidica-uretanizata-pentru-exterior.webp,"{""title"":""Vopsea profesionala pentru metal lemn exterior"",""alt"":""Email alchidic uretanizat metal “Emex Code”""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-uretanizata-metal-exterior,✔
33,Vopsea-bronz-aluminiu-argintiu-metalizat.webp,Vopsea-bronz-aluminiu-argintiu-metalizat.webp,"{""title"":""Vopsea argintie bronz aluminiu “Emex”"",""alt"":""Email argintiu metalizat pentru metal""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-bronz-aluminiu,✔
34,Vopsea-profesionala-pentru-metal-si-aluminiu.webp,Vopsea-profesionala-pentru-metal-si-aluminiu.webp,"{""title"":""Vopsea premium acoperiri profesionale metal lemn"",""alt"":""Email calitate premium alchido-stirenic""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-metal-alchido-stirenica,✔
35,Vopsea-alchidica-de-calitate-superioara.webp,Vopsea-alchidica-de-calitate-superioara.webp,"{""title"":""Email alchidic superior lemn metal zidarie"",""alt"":""Vopsea alchidica decorativa de calitate superioara""}",vopsele-emex/decorative/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,email-alchidic-emex,✔
36,Amorsa-cuartz-tencuieli.webp,Amorsa-cuartz-tencuieli.webp,"{""title"":""Amorsa cuartz pentru tencuiala decorativa"",""alt"":""Grund amorsare cuartz tencuiala acrilica""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,grund-amorsa-quartz,✔
37,Amorsa-profesionala-tencuiala-silicatica.webp,Amorsa-profesionala-tencuiala-silicatica.webp,"{""title"":""Grund silicatic de amorsare tencuieli"",""alt"":""Grund amorsare silicatic pentru tencuieli decorative""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,grund-amorsa-tencuiala-silicatica,✔
38,Amorsa-siliconica-cu-cuartz-pentru-tencuieli.webp,Amorsa-siliconica-cu-cuartz-pentru-tencuieli.webp,"{""title"":""Amorsa cu cuartz siliconica pentru tencuieli"",""alt"":""Amorsa pentru tencuieli decorative siliconice""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,grund-amorsa-tencuiala-siliconica,✔
39,Tencuiala-decorativa-acrilica-structurata.webp,Tencuiala-decorativa-acrilica-structurata.webp,"{""title"":""Tencuiala decorativa standard pentru fatade"",""alt"":""Tencuiala decorativa structurata scoarta de copac""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-acrilica,✔
40,Tencuiala-decorativa-cu-aspect-periat.webp,Tencuiala-decorativa-cu-aspect-periat.webp,"{""title"":""Tencuiala decorativa cu aplicare prin periere"",""alt"":""Tencuiala decorativa cuartz cu aspect periat""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-periata,✔
41,Tencuiala-decorativa-granulata.webp,Tencuiala-decorativa-granulata.webp,"{""title"":""Tencuiala granulata tip bob de orez"",""alt"":""Tencuiala decorativa aspect praf de piatra""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-praf-piatra,✔
42,Tencuiala-decorativa-impermeabila.webp,Tencuiala-decorativa-impermeabila.webp,"{""title"":""Tencuiala siliconata impermeabila cu cuartz"",""alt"":""Tencuiala decorativa structurata siliconata de fatade""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-impermeabila,✔
43,Tencuiala-decorativa-silicatica-premium.webp,Tencuiala-decorativa-silicatica-premium.webp,"{""title"":""Tencuiala decorativa silicatica pentru restaurari"",""alt"":""Tencuiala cuartz baza silicat de potasiu""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-silicatica,✔
44,Tencuiala-marmorata-mozaicata-de-soclu.webp,Tencuiala-marmorata-mozaicata-de-soclu.webp,"{""title"":""Tencuiala de soclu marmorata mozaicata"",""alt"":""Tencuiala decorativa rezistenta de soclu""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-soclu,✔
45,Tencuiala-siliconica-decorativa-structurata.webp,Tencuiala-siliconica-decorativa-structurata.webp,"{""title"":""Tencuiala structurata siliconica cu cuartz exterior"",""alt"":""Tencuiala decorativa siliconica elastica si rezistenta""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,tencuiala-decorativa-siliconica,✔
46,Tencuiala-structurata-sau-bob-de-orez-cu-fibra.webp,Tencuiala-structurata-sau-bob-de-orez-cu-fibra.webp,"{""title"":""Tencuiala rezistenta mare pentru fatade"",""alt"":""Tencuiala rezistenta la intemperii inghet zgariere""}",vopsele-emex/tencuieli/category,1,2023-12-11 13:25:34,2023-12-11 13:25:34,tencuiala-decorativa-fibra-sticla,✔
47,Vopsea-texturata-aspect-calcio-vecchio.webp,Vopsea-texturata-aspect-calcio-vecchio.webp,"{""title"":""Vopsea texturata granulata interior exterior"",""alt"":""Vopsea texturata acrilica relief diverse modele""}",vopsele-emex/tencuieli/category,1,2023-07-03 12:02:40,2023-07-03 12:02:40,vopsea-texturata-emex,✔
