Tip liant ,Denumire,slug
,Membrana Acrilica Hidroizolanta 2k “Emex HyPro”,membrana-acrilica-hidroizolanta-2k
,"Vopsea Marcaj Rutier pe Baza de Apa ""Emex WT-Urban""",vopsea-marcaj-rutier-apa-wt-urban
,Grund Anticoroziv Hidrosolubil “Emex AQ Eco”,grund-solubil-apa
,Lac Pentru Mobila Solubil In Apa “Emex”,lac-acrilic-mobila
,Lac Acrilic pentru Piatra “Emex AQS”,lac-piatra-apa
,Lac Protectie Beton “Emex Mineral Protect”,lac-protectie-beton
,,
Acrilic solvent,Vopsea Acrilica 3 in 1 Anticoroziva “Emex Aegis G3”,vopsea-acrilica-3-in-1-anticoroziva
,Vopsea Metalizata Acrilica “Emex”,vopsea-metalizata-acrilica
,Email Lovitura de Ciocan “Emex” - Hammerschlag,lovitura-de-ciocan
,Vopsea Marcaj Rutier “Emex Route”,vopsea-marcaj-rutier
,Vopsea Bicomponenta Marcaj Rutier “Emex Trafic”,vopsea-marcaj-rutier-bicomponenta
,Lac Acrilic pentru Piatra “Emex WS”,lac-piatra-solvent
,Lac Protectie Metal “Emex Bliss”,lac-protectie-metal-aluminiu
,Lac Beton Amprentat “Emex LS Patio”,lac-beton-amprentat
,Email Acrilo-Stirenic cu Microfulgi “Emex Panel”,email-panouri-sandwich
,Grund Anticoroziv Acrilo-Stirenic cu Microfibra si Zinc “Emex MZ-801”,grund-acrilo-stirenic-zinc-microfibra
,Vopsea Acrilica Bicomponenta fara Izocianat “Emex Hybrid”,vopsea-acrilica-bicomponenta-noiso
,,
Acrilic latex,Vopsea Lavabila Cuartz “Emex QT”,lavabila-cuartz-fatade
,Vopsea Lavabila Premium “Emex Gold”,lavabila-premium-gold
,Vopsea Lavabila Lucioasa “Emex Gloss”,vopsea-lavabila-lucioasa
,Vopsea Superlavabila Interior “Emex”,superlavabila-interior-emex
,Vopsea Lavabila Satinata “Emex Silk”,lavabila-satinata-interior
,Vopsea Lavabila Antimucegai “Emex”,vopsea-lavabila-antimucegai
,Vopsea Lavabila Interior “Neomatt Plus”,lavabila-interior-neomatt-plus
,Vopsea Superlavabila Exterior “Emex”,superlavabila-exterior-emex
,Vopsea Lavabila Exterior Economica “Emex”,lavabila-exterior-neomatt
,Vopsea Lavabila de Corectie “Emex”,lavabila-interior-efect-optic
,Vopsea Lavabila cu Perle Reflectorizante “Emex”,vopsea-lavabila-reflectorizanta
,Amorsa Acrilica Lichida “Emex”,amorsa-perete
,Amorsa Acrilica Antimucegai “Emex”,amorsa-antimucegai
,Amorsa Acrilica Economica “Neomatt Eco”,amorsa-perete-economica
,Grund de Egalizare si Umplere Pori “Emex”,grund-umplere-pori
,Masa de Spaclu pentru Reparatii “Emex LQ”,masa-spaclu
,Amorsa cu Cuart pentru Tencuiala Acrilica “Emex”,amorsa-cuart-tencuieli-decorative
,Tencuiala Decorativa “Emex Quartz Dekor”,tencuiala-decorativa-acrilica
,Tencuiala Decorativa “Emex Aqua Protect”,tencuiala-decorativa-impermeabila
,Tencuiala Decorativa Periata “Emex”,tencuiala-decorativa-periata
,,
Siliconic apa,Tencuiala Decorativa Bob de Orez “Emex”,tencuiala-decorativa-praf-piatra
,Tencuiala Decorativa Mozaicata de Soclu “Emex”,tencuiala-soclu
,Vopsea Lavabila de Baie si Bucatarie “Emex Ceramic”,lavabila-ceramica-baie-bucatarie
,Vopsea Lavabila Siliconica Interior “Emex”,lavabila-siliconica-interior
,Vopsea Lavabila Siliconica Exterior “Emex”,lavabila-siliconica-exterior
,Tencuiala Decorativa Siliconica “Emex”,tencuiala-decorativa-siliconica
,Amorsa cu Cuart pentru Tencuiala Siliconica “Emex”,amorsa-cuart-tencuieli-siliconice
,Amorsa de Perete Siliconica “Emex”,amorsa-siliconica
,Tencuiala Decorativa Siliconica “Emex”,tencuiala-decorativa-siliconica
,,
Silicatic,Vopsea Lavabila Silicatica Interior “Emex”,lavabila-silicatica-interior
,Vopsea Lavabila Silicatica Exterior “Emex”,lavabila-silicatica-exterior
,Tencuiala Decorativa Silicatica “Emex”,tencuiala-decorativa-silicatica
,Amorsa de Perete Silicatica “Emex”,amorsa-silicatica
,Amorsa cu Cuart pentru Tencuiala Silicatica “Emex”,amorsa-cuart-silicatica-tencuiala
,Tencuiala Decorativa Silicatica “Emex”,tencuiala-decorativa-silicatica
,,
Elastomeric,Membrana Cauciucata Hidroizolanta “Supra MX”,membrana-cauciucata-elastomerica
,Vopsea Elastomerica Exterior “Emex Flexio”,vopsea-elastomerica-tencuieli-exterior
,,
Clorcauciuc,Vopsea Clorcauciuc de Piscina “Emex Swim”,vopsea-clorcauciuc-piscine
,Email Clorcauciuc “Emex”,vopsea-clorcauciuc
,Vopsea Clorcauciuc Pardoseala “Emex”,vopsea-clorcauciuc-pardoseli
,Grund de Amorsare Clorcauciuc “Emex”,amorsa-clorcauciuc-impregnare
,Grund Anticoroziv Clorcauciuc “Emex”,grund-clorcauciuc
,,
Epoxidic,Email Epoxidic “Emex”,vopsea-epoxidica
,Email Epoxidic cu Microfulgi “Emex EFS-323” ,email-epoxidic-medii-agresive
,Email Epoxidic Emulsionat “Emex WD-E”,email-epoxidic-emulsionat-apa
,Vopsea Epoxidica Pardoseala cu Microfulgi “Emex MFS-331”,vopsea-epoxidica-pardoseli-microfulgi
